size expected actual delta
755 1072536710 1072727544 190834 -6367
756 1072579617 1072764002 184385 -6449
757 1072620553 1072798954 178401 -5984
758 1072659541 1072832091 172550 -5851
759 1072697258 1072864140 166882 -5668
760 1072734015 1072895366 161351 -5531
761 1072769950 1072926176 156226 -5125
762 1072805211 1072955757 150546 -5680
763 1072838924 1072984617 145693 -4853
764 1072870849 1073011866 141017 -4676
765 1072901730 1073038058 136328 -4689
766 1072931788 1073063642 131854 -4474
767 1072961177 1073088747 127570 -4284
768 1072990083 1073112728 122645 -4925
769 1073017630 1073135760 118130 -4515
770 1073043684 1073158008 114324 -3806
771 1073068814 1073179041 110227 -4097
772 1073093247 1073199807 106560 -3667
773 1073117258 1073219846 102588 -3972
774 1073140763 1073239457 98694 -3894
775 1073163179 1073258346 95167 -3527
776 1073184301 1073276179 91878 -3289
777 1073204655 1073293388 88733 -3145
778 1073224503 1073310206 85703 -3030
779 1073243915 1073326722 82807 -2896
780 1073262980 1073342665 79685 -3122
781 1073281099 1073357959 76860 -2825
782 1073298127 1073372538 74411 -2449
783 1073314586 1073386425 71839 -2572
784 1073330566 1073399505 68939 -2900
785 1073346227 1073412848 66621 -2318
786 1073361551 1073425706 64155 -2466
787 1073376141 1073437876 61735 -2420
788 1073389845 1073449304 59459 -2276
789 1073403021 1073460341 57320 -2139
790 1073415847 1073471072 55225 -2095
791 1073428391 1073481486 53095 -2130
792 1073440666 1073491725 51059 -2036
793 1073452360 1073501440 49080 -1979
794 1073463305 1073510706 47401 -1679
795 1073473814 1073519279 45465 -1936
796 1073484022 1073527675 43653 -1812
797 1073494024 1073536038 42014 -1639
798 1073503834 1073544162 40328 -1686
799 1073513141 1073551840 38699 -1629
800 1073521818 1073559040 37222 -1477
801 1073530154 1073565935 35781 -1441
802 1073538239 1073572491 34252 -1529
803 1073546182 1073579014 32832 -1420
804 1073553956 1073585482 31526 -1306
805 1073561333 1073591538 30205 -1321
806 1073568181 1073597159 28978 -1227
807 1073574728 1073602572 27844 -1134
808 1073581128 1073607789 26661 -1183
809 1073587383 1073612912 25529 -1132
810 1073593505 1073617899 24394 -1135
811 1073599315 1073622693 23378 -1016
812 1073604688 1073627147 22459 -919
813 1073609833 1073631414 21581 -878
814 1073614825 1073635590 20765 -816
815 1073619737 1073639567 19830 -935
816 1073624531 1073643528 18997 -833
817 1073629069 1073647282 18213 -784
